id,country,pretty_link
5876064,Puerto Rico,"<div><a href=""/places/default/view/Puerto-Rico-180""><img src=""/places/static/images/flags/pr.png"" /> Puerto Rico</a></div>"
5876065,Qatar,"<div><a href=""/places/default/view/Qatar-181""><img src=""/places/static/images/flags/qa.png"" /> Qatar</a></div>"
5876066,Republic of the Congo,"<div><a href=""/places/default/view/Republic-of-the-Congo-182""><img src=""/places/static/images/flags/cg.png"" /> Republic of the Congo</a></div>"
5876067,Reunion,"<div><a href=""/places/default/view/Reunion-183""><img src=""/places/static/images/flags/re.png"" /> Reunion</a></div>"
5876068,Romania,"<div><a href=""/places/default/view/Romania-184""><img src=""/places/static/images/flags/ro.png"" /> Romania</a></div>"
5876069,Russia,"<div><a href=""/places/default/view/Russia-185""><img src=""/places/static/images/flags/ru.png"" /> Russia</a></div>"
5876070,Rwanda,"<div><a href=""/places/default/view/Rwanda-186""><img src=""/places/static/images/flags/rw.png"" /> Rwanda</a></div>"
5876071,Saint Barthelemy,"<div><a href=""/places/default/view/Saint-Barthelemy-187""><img src=""/places/static/images/flags/bl.png"" /> Saint Barthelemy</a></div>"
5876072,Saint Helena,"<div><a href=""/places/default/view/Saint-Helena-188""><img src=""/places/static/images/flags/sh.png"" /> Saint Helena</a></div>"
5876073,Saint Kitts and Nevis,"<div><a href=""/places/default/view/Saint-Kitts-and-Nevis-189""><img src=""/places/static/images/flags/kn.png"" /> Saint Kitts and Nevis</a></div>"
5876074,Saint Lucia,"<div><a href=""/places/default/view/Saint-Lucia-190""><img src=""/places/static/images/flags/lc.png"" /> Saint Lucia</a></div>"
5876075,Saint Martin,"<div><a href=""/places/default/view/Saint-Martin-191""><img src=""/places/static/images/flags/mf.png"" /> Saint Martin</a></div>"
5876076,Saint Pierre and Miquelon,"<div><a href=""/places/default/view/Saint-Pierre-and-Miquelon-192""><img src=""/places/static/images/flags/pm.png"" /> Saint Pierre and Miquelon</a></div>"
